position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters,reportable
step_ge3,positions >=3,CONTENT-REASON,late_given_pt,1.4621478873239437,0.8185739436619718,2.216549295774648,71,71,True
step_ge3,positions >=3,CONTENT-REASON,late_given_it,3.0422535211267605,2.2588028169014085,3.9191021126760552,71,71,True
step_ge3,positions >=3,GOV-CONV,interaction,0.8517736486486487,0.6638407939189189,1.053642314189189,148,148,True
step_ge3,positions >=3,GOV-CONV,late_given_pt,0.3610641891891892,0.2183171452702703,0.5109797297297297,148,148,True
step_ge3,positions >=3,GOV-CONV,late_given_it,1.212837837837838,1.0143369932432433,1.4358108108108107,148,148,True
step_ge3,positions >=3,GOV-FORMAT,interaction,0.9451923076923077,0.4576682692307692,1.560576923076923,65,65,True
step_ge3,positions >=3,GOV-FORMAT,late_given_pt,1.2211538461538463,0.7644230769230769,1.7653846153846153,65,65,True
step_ge3,positions >=3,GOV-FORMAT,late_given_it,2.166346153846154,1.5211298076923077,2.904903846153845,65,65,True
step_ge3,positions >=3,GOV-REGISTER,interaction,0.14204545454545456,0.06534090909090909,0.21875,88,88,True
step_ge3,positions >=3,GOV-REGISTER,late_given_pt,0.5738636363636364,0.42045454545454547,0.7357954545454546,88,88,True
step_ge3,positions >=3,GOV-REGISTER,late_given_it,0.7159090909090909,0.5596235795454546,0.875,88,88,True
step_ge3,positions >=3,SAFETY,interaction,0.5987723214285714,0.14732142857142858,1.2053989955357136,56,56,True
step_ge3,positions >=3,SAFETY,late_given_pt,1.3125,1.0111607142857142,1.6161272321428564,56,56,True
step_ge3,positions >=3,SAFETY,late_given_it,1.9112723214285714,1.3303571428571428,2.6480747767857116,56,56,True
step_ge5,positions >=5,ALL,interaction,0.68567037470726,0.5214358899297423,0.8671929888758779,427,427,True
step_ge5,positions >=5,ALL,late_given_pt,0.8499707259953162,0.7021333430913349,1.0032347775175643,427,427,True
step_ge5,positions >=5,ALL,late_given_it,1.535641100702576,1.3218347482435597,1.7652261416861825,427,427,True
step_ge5,positions >=5,BASELINE-EASY,interaction,0.8928571428571429,,,14,14,False
step_ge5,positions >=5,BASELINE-EASY,late_given_pt,0.6160714285714286,,,14,14,False
step_ge5,positions >=5,BASELINE-EASY,late_given_it,1.5089285714285714,,,14,14,False
step_ge5,positions >=5,CONTENT-FACT,interaction,0.20761494252873564,0.14870689655172414,0.27011494252873564,87,87,True
step_ge5,positions >=5,CONTENT-FACT,late_given_pt,0.3922413793103448,0.2995689655172414,0.4964260057471262,87,87,True
step_ge5,positions >=5,CONTENT-FACT,late_given_it,0.5998563218390804,0.4870689655172414,0.7205459770114943,87,87,True
step_ge5,positions >=5,CONTENT-REASON,interaction,1.5180084745762712,0.7934057203389832,2.360195974576271,59,59,True
step_ge5,positions >=5,CONTENT-REASON,late_given_pt,1.6578389830508475,0.9046080508474577,2.522325211864406,59,59,True
step_ge5,positions >=5,CONTENT-REASON,late_given_it,3.1758474576271185,2.2478283898305085,4.214088983050846,59,59,True
step_ge5,positions >=5,GOV-CONV,interaction,0.78375,0.54184375,1.058125,100,100,True
step_ge5,positions >=5,GOV-CONV,late_given_pt,0.5025,0.324984375,0.688125,100,100,True
step_ge5,positions >=5,GOV-CONV,late_given_it,1.28625,1.0125,1.595,100,100,True
step_ge5,positions >=5,GOV-FORMAT,interaction,1.244186046511628,0.5072311046511628,2.133720930232558,43,43,True
step_ge5,positions >=5,GOV-FORMAT,late_given_pt,1.3284883720930232,0.7601744186046512,2.0130813953488373,43,43,True
step_ge5,positions >=5,GOV-FORMAT,late_given_it,2.572674418604651,1.7091933139534883,3.4738735465116277,43,43,True
step_ge5,positions >=5,GOV-REGISTER,interaction,0.109375,0.026041666666666668,0.1909722222222222,72,72,True
step_ge5,positions >=5,GOV-REGISTER,late_given_pt,0.5954861111111112,0.4148871527777778,0.7795138888888888,72,72,True
step_ge5,positions >=5,GOV-REGISTER,late_given_it,0.7048611111111112,0.5243055555555556,0.8871527777777778,72,72,True
step_ge5,positions >=5,SAFETY,interaction,0.6328125,0.15384615384615385,1.3005258413461531,52,52,True
step_ge5,positions >=5,SAFETY,late_given_pt,1.3870192307692308,1.0673076923076923,1.6947115384615385,52,52,True
step_ge5,positions >=5,SAFETY,late_given_it,2.019831730769231,1.4110576923076923,2.8437800480769226,52,52,True
step_ge10,positions >=10,ALL,interaction,0.8860554245283019,0.5859190742924528,1.2248120577830186,212,212,True
step_ge10,positions >=10,ALL,late_given_pt,0.8543632075471698,0.6450397995283018,1.0908092570754717,212,212,True
step_ge10,positions >=10,ALL,late_given_it,1.7404186320754718,1.3692474941037736,2.1289873231132073,212,212,True
step_ge10,positions >=10,BASELINE-EASY,interaction,1.0,,,1,1,False
step_ge10,positions >=10,BASELINE-EASY,late_given_pt,0.25,,,1,1,False
step_ge10,positions >=10,BASELINE-EASY,late_given_it,1.25,,,1,1,False
