condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_ctrl_rotated_b0,format_compliance,compliance,0.352112676056338,71,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,format_compliance,compliance,0.36619718309859156,71,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,format_compliance,compliance,0.4507042253521127,71,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,format_compliance,compliance,0.39436619718309857,71,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,format_compliance,compliance,0.36619718309859156,71,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,format_compliance,compliance,0.35526315789473684,76,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,format_compliance,compliance,0.5352112676056338,71,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,format_compliance,compliance,0.352112676056338,71,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,format_compliance,compliance,0.012987012987012988,77,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,format_compliance,compliance,0.352112676056338,71,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,format_compliance,compliance,0.352112676056338,71,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,format_compliance,compliance,0.17333333333333334,75,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,format_compliance,compliance,0.352112676056338,71,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_baseline_pt,exp3_alignment_behavior,behavior_match,0.5,100,A2,none,1.0,0.0,[]
A2_beta_0,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
