model,cell,readout,metric,n,mean,median,p05,p95
mistral_7b,U_PT__L_PT,common_it,remaining_adj_js,597,0.27627279384515413,0.25384534274538356,0.13265479045609632,0.49068948511655125
mistral_7b,U_PT__L_PT,common_it,future_top1_flips,597,1.464824120603015,1.5,0.0,3.0
mistral_7b,U_PT__L_PT,common_it,top5_churn,597,0.38568947027908507,0.3941798941798942,0.20634920634920637,0.5638888888888888
mistral_7b,U_PT__L_PT,common_it,top_choice_pt_rate,597,0.9212730318257957,550,,
mistral_7b,U_PT__L_PT,common_it,top_choice_it_rate,597,0.02847571189279732,17,,
mistral_7b,U_PT__L_PT,common_it,top_choice_other_rate,597,0.05025125628140704,30,,
mistral_7b,U_PT__L_PT,common_pt,it_vs_pt_margin,597,-1.8990263819095476,-1.3125,-5.475,-0.125
mistral_7b,U_PT__L_PT,common_pt,it_rank,597,40.969849246231156,5.0,2.0,228.79999999999905
mistral_7b,U_PT__L_PT,common_pt,pt_rank,597,1.0067001675041876,1.0,1.0,1.0
mistral_7b,U_PT__L_PT,common_pt,late_kl_mean,597,2.4022124031704384,2.4020324988024577,0.5917822565351214,4.588552646977557
mistral_7b,U_PT__L_PT,common_pt,remaining_adj_js,597,0.27576835408783656,0.2518729839163522,0.1320463387154935,0.49139585122466084
mistral_7b,U_PT__L_PT,common_pt,future_top1_flips,597,1.46677833612507,1.5,0.0,3.0
mistral_7b,U_PT__L_PT,common_pt,top5_churn,597,0.3849605168700646,0.3968253968253968,0.20634920634920637,0.562169312169312
mistral_7b,U_PT__L_PT,common_pt,top_choice_pt_rate,597,0.9899497487437185,591,,
mistral_7b,U_PT__L_PT,common_pt,top_choice_it_rate,597,0.005025125628140704,3,,
mistral_7b,U_PT__L_PT,common_pt,top_choice_other_rate,597,0.005025125628140704,3,,
mistral_7b,U_PT__L_IT,common_it,it_vs_pt_margin,597,-1.2534286013400335,-0.8125,-4.625,0.6875
mistral_7b,U_PT__L_IT,common_it,it_rank,597,24.63819095477387,3.0,1.0,90.39999999999986
mistral_7b,U_PT__L_IT,common_it,pt_rank,597,1.6549413735343383,1.0,1.0,4.0
mistral_7b,U_PT__L_IT,common_it,late_kl_mean,597,2.4834782949571466,2.5199922365801677,0.5731553235224315,4.762168318033214
mistral_7b,U_PT__L_IT,common_it,remaining_adj_js,597,0.27971080034484463,0.25536133411029976,0.13014438406874737,0.5059753344394265
mistral_7b,U_PT__L_IT,common_it,future_top1_flips,597,1.410106085985483,1.5,0.0,2.6666666666666665
mistral_7b,U_PT__L_IT,common_it,top5_churn,597,0.3758563540808097,0.38095238095238093,0.20634920634920637,0.5637566137566137
mistral_7b,U_PT__L_IT,common_it,top_choice_pt_rate,597,0.6515912897822446,389,,
mistral_7b,U_PT__L_IT,common_it,top_choice_it_rate,597,0.1624790619765494,97,,
mistral_7b,U_PT__L_IT,common_it,top_choice_other_rate,597,0.18592964824120603,111,,
mistral_7b,U_PT__L_IT,common_pt,it_vs_pt_margin,597,-1.28562081239531,-0.9375,-4.6875,0.5625
mistral_7b,U_PT__L_IT,common_pt,it_rank,597,26.224455611390283,3.0,1.0,104.19999999999993
mistral_7b,U_PT__L_IT,common_pt,pt_rank,597,1.6214405360134003,1.0,1.0,4.0
mistral_7b,U_PT__L_IT,common_pt,late_kl_mean,597,2.472862088614881,2.5193296798637936,0.5757012422595705,4.764285710879734
mistral_7b,U_PT__L_IT,common_pt,remaining_adj_js,597,0.279158037630974,0.25654477005203563,0.1296963631408289,0.506675129694243
mistral_7b,U_PT__L_IT,common_pt,future_top1_flips,597,1.431602456728085,1.5,0.0,2.6666666666666665
mistral_7b,U_PT__L_IT,common_pt,top5_churn,597,0.3781695071477317,0.3869047619047619,0.20634920634920637,0.5648148148148148
mistral_7b,U_PT__L_IT,common_pt,top_choice_pt_rate,597,0.6867671691792295,410,,
mistral_7b,U_PT__L_IT,common_pt,top_choice_it_rate,597,0.1457286432160804,87,,
mistral_7b,U_PT__L_IT,common_pt,top_choice_other_rate,597,0.16750418760469013,100,,
mistral_7b,U_IT__L_PT,common_it,it_vs_pt_margin,597,1.4227386934673367,1.0,-1.125,5.5
mistral_7b,U_IT__L_PT,common_it,it_rank,597,2.1256281407035176,1.0,1.0,6.0
mistral_7b,U_IT__L_PT,common_it,pt_rank,597,10.984924623115578,3.0,1.0,36.0
mistral_7b,U_IT__L_PT,common_it,late_kl_mean,597,2.8272962444548795,2.954754820891789,0.5168837913445063,5.217021065098898
mistral_7b,U_IT__L_PT,common_it,remaining_adj_js,597,0.30583350775103807,0.2813248534997304,0.11669740814249963,0.5791662454605101
mistral_7b,U_IT__L_PT,common_it,future_top1_flips,597,1.3165829145728642,1.3333333333333333,0.0,2.6666666666666665
mistral_7b,U_IT__L_PT,common_it,top5_churn,597,0.36732272473478506,0.35714285714285715,0.1777777777777778,0.5667989417989411
mistral_7b,U_IT__L_PT,common_it,top_choice_pt_rate,597,0.18592964824120603,111,,
mistral_7b,U_IT__L_PT,common_it,top_choice_it_rate,597,0.5946398659966499,355,,
mistral_7b,U_IT__L_PT,common_it,top_choice_other_rate,597,0.21943048576214405,131,,
mistral_7b,U_IT__L_PT,common_pt,it_vs_pt_margin,597,1.3547424623115578,0.9375,-1.25,5.449999999999996
mistral_7b,U_IT__L_PT,common_pt,it_rank,597,2.321608040201005,1.0,1.0,6.0
mistral_7b,U_IT__L_PT,common_pt,pt_rank,597,11.0,3.0,1.0,37.19999999999993
mistral_7b,U_IT__L_PT,common_pt,late_kl_mean,597,2.81317359317559,2.9562195198876515,0.5205615282058716,5.1729958125523146
mistral_7b,U_IT__L_PT,common_pt,remaining_adj_js,597,0.3051587208366629,0.28182748705148697,0.11854584965234002,0.5748581280310948
mistral_7b,U_IT__L_PT,common_pt,future_top1_flips,597,1.3129536571747629,1.1666666666666667,0.0,2.6666666666666665
