condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_beta_0.25,exp3_reasoning_em,contains_em,0.235,200,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,format_compliance_v2,compliance_rate,0.23214285714285715,168,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,mmlu_forced_choice,accuracy,0.48333333333333334,300,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,structural_token_ratio,ratio,0.027212248438610753,1400,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,exp3_alignment_behavior,behavior_match,0.4866666666666667,150,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,exp3_reasoning_em,contains_em,0.24,200,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,format_compliance_v2,compliance_rate,0.22012578616352202,159,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,mmlu_forced_choice,accuracy,0.4166666666666667,300,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,structural_token_ratio,ratio,0.03636472413270278,1400,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,exp3_reasoning_em,contains_em,0.02,200,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,format_compliance_v2,compliance_rate,0.1794871794871795,156,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,mmlu_forced_choice,accuracy,0.19,300,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,structural_token_ratio,ratio,0.1450608849006301,1400,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,exp3_reasoning_em,contains_em,0.01,200,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,format_compliance_v2,compliance_rate,0.3,110,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,mmlu_forced_choice,accuracy,0.09333333333333334,300,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,structural_token_ratio,ratio,0.5686619032600028,1400,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,exp3_reasoning_em,contains_em,0.0,200,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,format_compliance_v2,compliance_rate,0.3448275862068966,58,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,mmlu_forced_choice,accuracy,0.03,300,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,structural_token_ratio,ratio,0.512610977033664,1400,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,exp3_reasoning_em,contains_em,0.0,200,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,format_compliance_v2,compliance_rate,0.2,15,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,mmlu_forced_choice,accuracy,0.0,300,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,structural_token_ratio,ratio,0.2,1400,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,exp3_reasoning_em,contains_em,0.0,200,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,format_compliance_v2,compliance_rate,0.14285714285714285,7,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,mmlu_forced_choice,accuracy,0.0,300,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,structural_token_ratio,ratio,0.002857142857142857,1400,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,exp3_alignment_behavior,behavior_match,0.5266666666666666,150,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,exp3_reasoning_em,contains_em,0.235,200,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,format_compliance_v2,compliance_rate,0.26136363636363635,176,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,mmlu_forced_choice,accuracy,0.48,300,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,structural_token_ratio,ratio,0.0242737022424762,1400,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,exp3_alignment_behavior,behavior_match,0.5,150,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,exp3_reasoning_em,contains_em,0.0,200,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,format_compliance_v2,compliance_rate,0.3131868131868132,182,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,mmlu_forced_choice,accuracy,0.24333333333333335,300,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,structural_token_ratio,ratio,0.0,1400,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
