level,model,pipeline,side,host_variant,donor_variant,baseline_pipeline,window_name,start_layer,end_layer_exclusive,width,center,region,metric,estimate,ci95_low,ci95_high,n_pairs,n_prompt_clusters,n_models,models
model,qwen3_4b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,15,22,7,18.0,graft_window,kl_to_own_final,0.04494001101423578,0.010702721136183015,0.0774669302779852,67331,600,,
model,qwen3_4b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,32,36,4,33.5,final_20pct,kl_to_own_final,0.24993796814689687,0.23462872636872334,0.266207569934802,67331,600,,
model,qwen3_4b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,32,36,4,33.5,graft_window,kl_to_own_final,0.12716689343462126,0.11879767934572565,0.1360359538489047,67331,600,,
model,qwen3_4b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,26,33,7,29.0,final_20pct,kl_to_own_final,-0.6317821366628602,-0.6511567078884756,-0.6115960008562558,67331,600,,
model,qwen3_4b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,26,33,7,29.0,graft_window,kl_to_own_final,-1.174040729967163,-1.2043749222520481,-1.1450347374207794,67331,600,,
model,qwen3_4b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,22,29,7,25.0,final_20pct,kl_to_own_final,-0.6738720659035856,-0.7011672122929133,-0.6473111926204221,67331,600,,
model,qwen3_4b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,22,29,7,25.0,graft_window,kl_to_own_final,-2.089375230326104,-2.1515068019281363,-2.0264234549177433,67331,600,,
model,qwen3_4b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,22,36,14,28.5,final_20pct,kl_to_own_final,-1.4834570665639903,-1.5356153303551277,-1.4320777205107673,67331,600,,
model,qwen3_4b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,22,36,14,28.5,graft_window,kl_to_own_final,-3.298270588587866,-3.3786110975174384,-3.2164569503344476,67331,600,,
model,qwen3_4b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,29,36,7,32.0,final_20pct,kl_to_own_final,-1.002147522401253,-1.0368061361187468,-0.9677681367815953,67331,600,,
model,qwen3_4b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,29,36,7,32.0,graft_window,kl_to_own_final,-0.8039854063682015,-0.8362573443555106,-0.7718422660249779,67331,600,,
model,qwen3_4b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,15,22,7,18.0,final_20pct,kl_to_own_final,-0.7630187346579055,-0.8018840053666186,-0.7265610402433111,67331,600,,
model,qwen3_4b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,15,22,7,18.0,graft_window,kl_to_own_final,-3.0418258077405356,-3.19217112037618,-2.895160670795649,67331,600,,
model,qwen3_4b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,32,36,4,33.5,final_20pct,kl_to_own_final,-0.8512749990092614,-0.8827819335843384,-0.8218800704156599,67331,600,,
model,qwen3_4b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,32,36,4,33.5,graft_window,kl_to_own_final,-0.2783018217022015,-0.2933473279425073,-0.2631168229952829,67331,600,,
model,llama31_8b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,-0.02599563190690123,-0.0328200894425043,-0.01910261962173581,41470,600,,
model,llama31_8b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,0.06988645464223071,0.06055885630460427,0.0795611255488232,41470,600,,
model,llama31_8b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,final_20pct,kl_to_own_final,-0.03562053256203519,-0.04179231219214246,-0.029040818560805343,41470,600,,
model,llama31_8b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,graft_window,kl_to_own_final,0.07546058129505451,0.06695046615757982,0.08372868711215073,41470,600,,
model,llama31_8b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,final_20pct,kl_to_own_final,-0.06896653632833637,-0.08436764952635963,-0.053991533116297286,41470,600,,
model,llama31_8b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,graft_window,kl_to_own_final,0.07067473378206492,0.04731433810832406,0.09392581898425112,41470,600,,
model,llama31_8b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,final_20pct,kl_to_own_final,-0.056908240942472293,-0.07168116421613976,-0.04103732324318655,41470,600,,
