condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randmatched_alpha_0.75,exp3_alignment_behavior,behavior_match,0.6133333333333333,150,A1_rand_matched,directional_random_matched,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.75,exp3_reasoning_em,contains_em,0.515,200,A1_rand_matched,directional_random_matched,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.75,format_compliance_v2,compliance_rate,0.46703296703296704,182,A1_rand_matched,directional_random_matched,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.75,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_rand_matched,directional_random_matched,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.75,structural_token_ratio,ratio,0.048067616878203774,1400,A1_rand_matched,directional_random_matched,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1.5,exp3_alignment_behavior,behavior_match,0.5333333333333333,150,A1_rand_matched,directional_random_matched,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
