condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randms_s42_alpha_2,exp3_alignment_behavior,behavior_match,0.52,150,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_2,exp3_reasoning_em,contains_em,0.535,200,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_2,format_compliance_v2,compliance_rate,0.44505494505494503,182,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_2,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_2,structural_token_ratio,ratio,0.05069619490898705,1400,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_-1,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_-1,exp3_reasoning_em,contains_em,0.195,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_-1,format_compliance_v2,compliance_rate,0.39779005524861877,181,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_-1,mmlu_forced_choice,accuracy,0.4866666666666667,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_-1,structural_token_ratio,ratio,0.1646301557281927,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0,exp3_alignment_behavior,behavior_match,0.6,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
