layer_range,alpha,benchmark,value,condition
22-33,0.75,exp3_reasoning_em,0.535,A1_alpha_0.75
22-33,1.0,exp3_reasoning_em,0.53,A1_alpha_1
22-33,1.5,exp3_reasoning_em,0.555,A1_alpha_1.5
22-33,2.0,exp3_reasoning_em,0.525,A1_alpha_2
22-33,3.0,exp3_reasoning_em,0.255,A1_alpha_3
22-33,5.0,exp3_reasoning_em,0.04,A1_alpha_5
18-33,-5.0,format_compliance_v2,0.13186813186813187,A1_alpha_-5
18-33,-3.0,format_compliance_v2,0.14835164835164835,A1_alpha_-3
18-33,-2.0,format_compliance_v2,0.17582417582417584,A1_alpha_-2
18-33,-1.0,format_compliance_v2,0.17582417582417584,A1_alpha_-1
18-33,-0.5,format_compliance_v2,0.17582417582417584,A1_alpha_-0.5
18-33,0.0,format_compliance_v2,0.27472527472527475,A1_alpha_0
18-33,0.25,format_compliance_v2,0.37362637362637363,A1_alpha_0.25
18-33,0.5,format_compliance_v2,0.45604395604395603,A1_alpha_0.5
18-33,0.75,format_compliance_v2,0.46703296703296704,A1_alpha_0.75
18-33,1.0,format_compliance_v2,0.4835164835164835,A1_alpha_1
18-33,1.5,format_compliance_v2,0.43956043956043955,A1_alpha_1.5
18-33,2.0,format_compliance_v2,0.4340659340659341,A1_alpha_2
18-33,3.0,format_compliance_v2,0.35714285714285715,A1_alpha_3
18-33,5.0,format_compliance_v2,0.2795031055900621,A1_alpha_5
20-31,-5.0,format_compliance_v2,0.15934065934065933,A1_alpha_-5
20-31,-3.0,format_compliance_v2,0.1978021978021978,A1_alpha_-3
20-31,-2.0,format_compliance_v2,0.1813186813186813,A1_alpha_-2
20-31,-1.0,format_compliance_v2,0.1978021978021978,A1_alpha_-1
20-31,-0.5,format_compliance_v2,0.2802197802197802,A1_alpha_-0.5
20-31,0.0,format_compliance_v2,0.34065934065934067,A1_alpha_0
20-31,0.25,format_compliance_v2,0.4065934065934066,A1_alpha_0.25
20-31,0.5,format_compliance_v2,0.46153846153846156,A1_alpha_0.5
20-31,0.75,format_compliance_v2,0.46703296703296704,A1_alpha_0.75
20-31,1.0,format_compliance_v2,0.4835164835164835,A1_alpha_1
20-31,1.5,format_compliance_v2,0.4835164835164835,A1_alpha_1.5
20-31,2.0,format_compliance_v2,0.4340659340659341,A1_alpha_2
