condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1formula_mlp_additive_alpha_2,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_formula,directional_add,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_2,structural_token_ratio,ratio,0.04936480542251297,1400,A1_formula,directional_add,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A1_formula,none,1.0,0.0,[]
A1formula_mlp_additive_baseline,exp3_reasoning_em,contains_em,0.53,200,A1_formula,none,1.0,0.0,[]
A1formula_mlp_additive_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,none,1.0,0.0,[]
A1formula_mlp_additive_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_formula,none,1.0,0.0,[]
A1formula_mlp_additive_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A1_formula,none,1.0,0.0,[]
A1formula_mlp_proj_remove_alpha_0,exp3_alignment_behavior,behavior_match,0.56,150,A1_formula,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0,exp3_reasoning_em,contains_em,0.505,200,A1_formula,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0,format_compliance_v2,compliance_rate,0.32967032967032966,182,A1_formula,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_formula,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0,structural_token_ratio,ratio,0.055490334978815524,1400,A1_formula,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A1_formula,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0.5,exp3_reasoning_em,contains_em,0.585,200,A1_formula,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0.5,format_compliance_v2,compliance_rate,0.41208791208791207,182,A1_formula,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0.5,mmlu_forced_choice,accuracy,0.5133333333333333,300,A1_formula,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_proj_remove_alpha_0.5,structural_token_ratio,ratio,0.05207729132521362,1400,A1_formula,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
