model,model_label,variant,layer,n_layers,normalized_depth,mean_delta_cosine
mistral_7b,Mistral 7B v0.3,pt,10,32,0.3226,-0.038107
mistral_7b,Mistral 7B v0.3,pt,11,32,0.3548,-0.032409
mistral_7b,Mistral 7B v0.3,pt,12,32,0.3871,-0.045195
mistral_7b,Mistral 7B v0.3,pt,13,32,0.4194,-0.002964
mistral_7b,Mistral 7B v0.3,pt,14,32,0.4516,0.017735
mistral_7b,Mistral 7B v0.3,pt,15,32,0.4839,0.044038
mistral_7b,Mistral 7B v0.3,pt,16,32,0.5161,0.071771
mistral_7b,Mistral 7B v0.3,pt,17,32,0.5484,0.061728
mistral_7b,Mistral 7B v0.3,pt,18,32,0.5806,0.116219
mistral_7b,Mistral 7B v0.3,pt,19,32,0.6129,0.187021
mistral_7b,Mistral 7B v0.3,pt,20,32,0.6452,0.157513
mistral_7b,Mistral 7B v0.3,pt,21,32,0.6774,0.148309
mistral_7b,Mistral 7B v0.3,pt,22,32,0.7097,0.153812
mistral_7b,Mistral 7B v0.3,pt,23,32,0.7419,0.162066
mistral_7b,Mistral 7B v0.3,pt,24,32,0.7742,0.14769
mistral_7b,Mistral 7B v0.3,pt,25,32,0.8065,0.146431
mistral_7b,Mistral 7B v0.3,pt,26,32,0.8387,0.160602
mistral_7b,Mistral 7B v0.3,pt,27,32,0.871,0.169114
mistral_7b,Mistral 7B v0.3,pt,28,32,0.9032,0.127234
mistral_7b,Mistral 7B v0.3,pt,29,32,0.9355,0.221108
mistral_7b,Mistral 7B v0.3,pt,30,32,0.9677,0.205438
mistral_7b,Mistral 7B v0.3,pt,31,32,1.0,-0.099527
mistral_7b,Mistral 7B v0.3,it,0,32,0.0,nan
mistral_7b,Mistral 7B v0.3,it,1,32,0.0323,0.165403
mistral_7b,Mistral 7B v0.3,it,2,32,0.0645,0.226086
mistral_7b,Mistral 7B v0.3,it,3,32,0.0968,0.148097
mistral_7b,Mistral 7B v0.3,it,4,32,0.129,0.126492
mistral_7b,Mistral 7B v0.3,it,5,32,0.1613,0.065924
mistral_7b,Mistral 7B v0.3,it,6,32,0.1935,-0.001733
mistral_7b,Mistral 7B v0.3,it,7,32,0.2258,-0.023251
mistral_7b,Mistral 7B v0.3,it,8,32,0.2581,-0.089584
mistral_7b,Mistral 7B v0.3,it,9,32,0.2903,-0.032839
mistral_7b,Mistral 7B v0.3,it,10,32,0.3226,-0.06218
mistral_7b,Mistral 7B v0.3,it,11,32,0.3548,-0.031661
mistral_7b,Mistral 7B v0.3,it,12,32,0.3871,-0.044712
mistral_7b,Mistral 7B v0.3,it,13,32,0.4194,-0.025657
mistral_7b,Mistral 7B v0.3,it,14,32,0.4516,-0.031546
mistral_7b,Mistral 7B v0.3,it,15,32,0.4839,0.013915
mistral_7b,Mistral 7B v0.3,it,16,32,0.5161,0.035453
mistral_7b,Mistral 7B v0.3,it,17,32,0.5484,0.028827
mistral_7b,Mistral 7B v0.3,it,18,32,0.5806,0.072357
mistral_7b,Mistral 7B v0.3,it,19,32,0.6129,0.136799
mistral_7b,Mistral 7B v0.3,it,20,32,0.6452,0.105443
mistral_7b,Mistral 7B v0.3,it,21,32,0.6774,0.086921
mistral_7b,Mistral 7B v0.3,it,22,32,0.7097,0.095809
mistral_7b,Mistral 7B v0.3,it,23,32,0.7419,0.101223
mistral_7b,Mistral 7B v0.3,it,24,32,0.7742,0.104368
mistral_7b,Mistral 7B v0.3,it,25,32,0.8065,0.100505
mistral_7b,Mistral 7B v0.3,it,26,32,0.8387,0.107133
mistral_7b,Mistral 7B v0.3,it,27,32,0.871,0.134362
mistral_7b,Mistral 7B v0.3,it,28,32,0.9032,0.112408
mistral_7b,Mistral 7B v0.3,it,29,32,0.9355,0.178311
mistral_7b,Mistral 7B v0.3,it,30,32,0.9677,0.095289
mistral_7b,Mistral 7B v0.3,it,31,32,1.0,-0.263942
olmo2_7b,OLMo 2 7B,pt,0,32,0.0,nan
olmo2_7b,OLMo 2 7B,pt,1,32,0.0323,-0.033274
olmo2_7b,OLMo 2 7B,pt,2,32,0.0645,0.042398
olmo2_7b,OLMo 2 7B,pt,3,32,0.0968,0.058748
olmo2_7b,OLMo 2 7B,pt,4,32,0.129,-0.006234
olmo2_7b,OLMo 2 7B,pt,5,32,0.1613,-0.059748
olmo2_7b,OLMo 2 7B,pt,6,32,0.1935,-0.083979
olmo2_7b,OLMo 2 7B,pt,7,32,0.2258,-0.091722
olmo2_7b,OLMo 2 7B,pt,8,32,0.2581,-0.096906
olmo2_7b,OLMo 2 7B,pt,9,32,0.2903,-0.121448
olmo2_7b,OLMo 2 7B,pt,10,32,0.3226,-0.121126
olmo2_7b,OLMo 2 7B,pt,11,32,0.3548,-0.123635
olmo2_7b,OLMo 2 7B,pt,12,32,0.3871,-0.117813
olmo2_7b,OLMo 2 7B,pt,13,32,0.4194,-0.105222
olmo2_7b,OLMo 2 7B,pt,14,32,0.4516,-0.086596
olmo2_7b,OLMo 2 7B,pt,15,32,0.4839,-0.021573
olmo2_7b,OLMo 2 7B,pt,16,32,0.5161,-0.002087
olmo2_7b,OLMo 2 7B,pt,17,32,0.5484,0.019998
olmo2_7b,OLMo 2 7B,pt,18,32,0.5806,0.023797
olmo2_7b,OLMo 2 7B,pt,19,32,0.6129,0.028945
olmo2_7b,OLMo 2 7B,pt,20,32,0.6452,0.05272
olmo2_7b,OLMo 2 7B,pt,21,32,0.6774,0.047184
olmo2_7b,OLMo 2 7B,pt,22,32,0.7097,0.084447
olmo2_7b,OLMo 2 7B,pt,23,32,0.7419,0.086719
olmo2_7b,OLMo 2 7B,pt,24,32,0.7742,0.084664
olmo2_7b,OLMo 2 7B,pt,25,32,0.8065,0.086731
