model,model_label,layer,n_layers,normalized_depth,delta_attn_raw,delta_mlp_raw,delta_attn_norm,delta_mlp_norm,phase_boundary_layer,corrective_onset_layer
qwen3_4b,Qwen 3 4B,16,36,0.4571,0.002452,0.002608,1.060536,1.090281,12,22
qwen3_4b,Qwen 3 4B,17,36,0.4857,0.00238,0.002645,1.029622,1.105641,12,22
qwen3_4b,Qwen 3 4B,18,36,0.5143,0.002419,0.002731,1.046465,1.141698,12,22
qwen3_4b,Qwen 3 4B,19,36,0.5429,0.002433,0.002759,1.052245,1.15303,12,22
qwen3_4b,Qwen 3 4B,20,36,0.5714,0.00257,0.002779,1.111568,1.161436,12,22
qwen3_4b,Qwen 3 4B,21,36,0.6,0.002483,0.002761,1.073858,1.15392,12,22
qwen3_4b,Qwen 3 4B,22,36,0.6286,0.00246,0.002714,1.064,1.134383,12,22
qwen3_4b,Qwen 3 4B,23,36,0.6571,0.002537,0.002715,1.097298,1.135013,12,22
qwen3_4b,Qwen 3 4B,24,36,0.6857,0.002607,0.00269,1.127565,1.124254,12,22
qwen3_4b,Qwen 3 4B,25,36,0.7143,0.002566,0.00269,1.110022,1.12451,12,22
qwen3_4b,Qwen 3 4B,26,36,0.7429,0.002783,0.002695,1.20372,1.126585,12,22
qwen3_4b,Qwen 3 4B,27,36,0.7714,0.002696,0.002685,1.166189,1.122177,12,22
qwen3_4b,Qwen 3 4B,28,36,0.8,0.002651,0.002705,1.14686,1.13061,12,22
qwen3_4b,Qwen 3 4B,29,36,0.8286,0.002752,0.00266,1.190403,1.112006,12,22
qwen3_4b,Qwen 3 4B,30,36,0.8571,0.002646,0.002667,1.144447,1.114715,12,22
qwen3_4b,Qwen 3 4B,31,36,0.8857,0.0026,0.002677,1.124837,1.118989,12,22
qwen3_4b,Qwen 3 4B,32,36,0.9143,0.002589,0.002722,1.1197,1.137728,12,22
qwen3_4b,Qwen 3 4B,33,36,0.9429,0.002642,0.00271,1.142643,1.132558,12,22
qwen3_4b,Qwen 3 4B,34,36,0.9714,0.002556,0.002564,1.105651,1.071893,12,22
qwen3_4b,Qwen 3 4B,35,36,1.0,0.002348,0.002357,1.015509,0.985055,12,22
mistral_7b,Mistral 7B v0.3,0,32,0.0,4.6e-05,6.1e-05,0.711542,0.934669,11,19
mistral_7b,Mistral 7B v0.3,1,32,0.0323,5.3e-05,6.2e-05,0.828931,0.9376,11,19
mistral_7b,Mistral 7B v0.3,2,32,0.0645,6e-05,6.2e-05,0.938128,0.950211,11,19
mistral_7b,Mistral 7B v0.3,3,32,0.0968,6e-05,6.3e-05,0.93886,0.955871,11,19
mistral_7b,Mistral 7B v0.3,4,32,0.129,6e-05,6.3e-05,0.939674,0.964437,11,19
mistral_7b,Mistral 7B v0.3,5,32,0.1613,6.2e-05,6.4e-05,0.968626,0.977549,11,19
mistral_7b,Mistral 7B v0.3,6,32,0.1935,6.2e-05,6.5e-05,0.96579,0.985263,11,19
mistral_7b,Mistral 7B v0.3,7,32,0.2258,6.2e-05,6.5e-05,0.972828,0.993761,11,19
mistral_7b,Mistral 7B v0.3,8,32,0.2581,6.3e-05,6.6e-05,0.980487,1.00164,11,19
mistral_7b,Mistral 7B v0.3,9,32,0.2903,6.3e-05,6.6e-05,0.985242,1.00857,11,19
mistral_7b,Mistral 7B v0.3,10,32,0.3226,6.3e-05,6.6e-05,0.985351,1.00678,11,19
mistral_7b,Mistral 7B v0.3,11,32,0.3548,6.5e-05,6.7e-05,1.009484,1.013342,11,19
mistral_7b,Mistral 7B v0.3,12,32,0.3871,6.3e-05,6.7e-05,0.982769,1.019043,11,19
mistral_7b,Mistral 7B v0.3,13,32,0.4194,6.4e-05,6.7e-05,0.996488,1.025206,11,19
mistral_7b,Mistral 7B v0.3,14,32,0.4516,6.5e-05,6.8e-05,1.016804,1.035421,11,19
mistral_7b,Mistral 7B v0.3,15,32,0.4839,6.5e-05,6.8e-05,1.01942,1.03893,11,19
mistral_7b,Mistral 7B v0.3,16,32,0.5161,6.6e-05,6.8e-05,1.034797,1.042254,11,19
mistral_7b,Mistral 7B v0.3,17,32,0.5484,6.6e-05,6.9e-05,1.029981,1.044646,11,19
mistral_7b,Mistral 7B v0.3,18,32,0.5806,6.7e-05,6.8e-05,1.041522,1.036921,11,19
mistral_7b,Mistral 7B v0.3,19,32,0.6129,6.7e-05,6.7e-05,1.037344,1.027132,11,19
mistral_7b,Mistral 7B v0.3,20,32,0.6452,6.8e-05,6.7e-05,1.055887,1.01903,11,19
mistral_7b,Mistral 7B v0.3,21,32,0.6774,6.8e-05,6.6e-05,1.059999,1.009614,11,19
mistral_7b,Mistral 7B v0.3,22,32,0.7097,6.8e-05,6.6e-05,1.051737,1.009236,11,19
mistral_7b,Mistral 7B v0.3,23,32,0.7419,6.8e-05,6.6e-05,1.063267,1.00779,11,19
mistral_7b,Mistral 7B v0.3,24,32,0.7742,6.7e-05,6.6e-05,1.048778,1.001807,11,19
mistral_7b,Mistral 7B v0.3,25,32,0.8065,6.8e-05,6.6e-05,1.05076,1.003609,11,19
mistral_7b,Mistral 7B v0.3,26,32,0.8387,6.8e-05,6.6e-05,1.060925,1.004153,11,19
mistral_7b,Mistral 7B v0.3,27,32,0.871,6.6e-05,6.6e-05,1.03301,1.000699,11,19
mistral_7b,Mistral 7B v0.3,28,32,0.9032,6.8e-05,6.6e-05,1.057378,1.003699,11,19
mistral_7b,Mistral 7B v0.3,29,32,0.9355,6.6e-05,6.6e-05,1.033483,0.998171,11,19
mistral_7b,Mistral 7B v0.3,30,32,0.9677,6.8e-05,6.5e-05,1.053534,0.994248,11,19
mistral_7b,Mistral 7B v0.3,31,32,1.0,6.7e-05,6.2e-05,1.047175,0.948698,11,19
deepseek_v2_lite,DeepSeek-V2-Lite,0,27,0.0,0.000685,0.000776,0.855023,0.816645,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,1,27,0.0385,0.000677,0.000854,0.845657,0.898627,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,2,27,0.0769,0.000732,0.000862,0.914024,0.90754,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,3,27,0.1154,0.000732,0.000876,0.914019,0.922101,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,4,27,0.1538,0.000718,0.000887,0.896396,0.933523,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,5,27,0.1923,0.000729,0.000907,0.910251,0.954893,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,6,27,0.2308,0.000728,0.000923,0.909298,0.972001,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,7,27,0.2692,0.000763,0.000945,0.95211,0.994545,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,8,27,0.3077,0.000764,0.000955,0.95384,1.005529,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,9,27,0.3462,0.000764,0.000966,0.954439,1.01688,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,10,27,0.3846,0.000774,0.000978,0.965866,1.029595,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,11,27,0.4231,0.000778,0.000981,0.970707,1.032531,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,12,27,0.4615,0.000833,0.000981,1.040105,1.032422,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,13,27,0.5,0.000811,0.000987,1.012799,1.039026,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,14,27,0.5385,0.000824,0.000982,1.028135,1.03386,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,15,27,0.5769,0.000833,0.000979,1.039778,1.03066,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,16,27,0.6154,0.000885,0.000979,1.10486,1.030859,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,17,27,0.6538,0.000867,0.000982,1.082571,1.033735,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,18,27,0.6923,0.000808,0.00098,1.008735,1.031602,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,19,27,0.7308,0.000916,0.000973,1.143439,1.024838,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,20,27,0.7692,0.000807,0.000983,1.007167,1.034787,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,21,27,0.8077,0.000861,0.000985,1.075187,1.036532,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,22,27,0.8462,0.000851,0.000994,1.062483,1.046555,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,23,27,0.8846,0.000872,0.001005,1.088511,1.058373,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,24,27,0.9231,0.000905,0.000991,1.130345,1.043635,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,25,27,0.9615,0.000842,0.000982,1.051433,1.033676,9,16
deepseek_v2_lite,DeepSeek-V2-Lite,26,27,1.0,0.000867,0.000955,1.082822,1.005032,9,16
