model,model_label,layer,n_layers,normalized_depth,pt_mean_entropy_nats,it_mean_entropy_nats,it_minus_pt_entropy,pt_sem,it_sem
qwen3_4b,Qwen 3 4B,31,36,0.8857,0.870707,0.866935,-0.003772,0.008412,0.006968
qwen3_4b,Qwen 3 4B,32,36,0.9143,0.776806,0.745718,-0.031088,0.00859,0.006601
qwen3_4b,Qwen 3 4B,33,36,0.9429,0.985462,0.971737,-0.013726,0.01056,0.008103
qwen3_4b,Qwen 3 4B,34,36,0.9714,0.999695,1.017276,0.017581,0.007958,0.007029
qwen3_4b,Qwen 3 4B,35,36,1.0,0.921962,0.961455,0.039492,0.006306,0.005763
mistral_7b,Mistral 7B v0.3,0,32,0.0,1.500329,1.491705,-0.008624,0.010935,0.010717
mistral_7b,Mistral 7B v0.3,1,32,0.0323,0.850036,1.005585,0.155549,0.004617,0.004923
mistral_7b,Mistral 7B v0.3,2,32,0.0645,0.957247,0.982672,0.025426,0.00388,0.004637
mistral_7b,Mistral 7B v0.3,3,32,0.0968,1.540911,1.31607,-0.224841,0.005741,0.004617
mistral_7b,Mistral 7B v0.3,4,32,0.129,1.346767,1.242987,-0.103781,0.004991,0.005056
mistral_7b,Mistral 7B v0.3,5,32,0.1613,1.69305,1.496169,-0.196881,0.006529,0.005956
mistral_7b,Mistral 7B v0.3,6,32,0.1935,1.274229,1.172828,-0.1014,0.005262,0.005998
mistral_7b,Mistral 7B v0.3,7,32,0.2258,1.605188,1.529671,-0.075517,0.007447,0.008035
mistral_7b,Mistral 7B v0.3,8,32,0.2581,1.734327,1.656051,-0.078276,0.007144,0.008149
mistral_7b,Mistral 7B v0.3,9,32,0.2903,1.625653,1.602259,-0.023393,0.008026,0.008956
mistral_7b,Mistral 7B v0.3,10,32,0.3226,1.918127,1.938927,0.020801,0.007266,0.008928
mistral_7b,Mistral 7B v0.3,11,32,0.3548,1.736119,1.690048,-0.046071,0.009013,0.010273
mistral_7b,Mistral 7B v0.3,12,32,0.3871,1.732235,1.832841,0.100605,0.008374,0.010803
mistral_7b,Mistral 7B v0.3,13,32,0.4194,2.188596,2.270624,0.082028,0.008962,0.011115
mistral_7b,Mistral 7B v0.3,14,32,0.4516,2.119638,2.012416,-0.107222,0.010371,0.010596
mistral_7b,Mistral 7B v0.3,15,32,0.4839,2.01631,2.064558,0.048248,0.010683,0.011773
mistral_7b,Mistral 7B v0.3,16,32,0.5161,2.060329,2.118373,0.058043,0.01157,0.01289
mistral_7b,Mistral 7B v0.3,17,32,0.5484,1.847173,1.796509,-0.050664,0.008098,0.008747
mistral_7b,Mistral 7B v0.3,18,32,0.5806,1.818447,1.746503,-0.071945,0.009682,0.010352
mistral_7b,Mistral 7B v0.3,19,32,0.6129,1.806528,1.764226,-0.042302,0.010037,0.009998
mistral_7b,Mistral 7B v0.3,20,32,0.6452,1.613654,1.648731,0.035077,0.010118,0.011161
mistral_7b,Mistral 7B v0.3,21,32,0.6774,1.521352,1.428914,-0.092438,0.009545,0.00952
mistral_7b,Mistral 7B v0.3,22,32,0.7097,1.292006,1.23659,-0.055416,0.007316,0.007358
mistral_7b,Mistral 7B v0.3,23,32,0.7419,1.290925,1.1744,-0.116525,0.006879,0.006669
mistral_7b,Mistral 7B v0.3,24,32,0.7742,1.401709,1.25677,-0.14494,0.008526,0.008527
mistral_7b,Mistral 7B v0.3,25,32,0.8065,1.337969,1.264649,-0.07332,0.008243,0.008381
mistral_7b,Mistral 7B v0.3,26,32,0.8387,1.366612,1.242152,-0.12446,0.00796,0.007688
mistral_7b,Mistral 7B v0.3,27,32,0.871,1.362545,1.269897,-0.092648,0.006734,0.006621
mistral_7b,Mistral 7B v0.3,28,32,0.9032,1.625255,1.433073,-0.192182,0.009243,0.008731
mistral_7b,Mistral 7B v0.3,29,32,0.9355,1.646217,1.553371,-0.092847,0.008967,0.0092
mistral_7b,Mistral 7B v0.3,30,32,0.9677,1.706369,1.529568,-0.176801,0.009373,0.009685
mistral_7b,Mistral 7B v0.3,31,32,1.0,1.94988,1.747691,-0.202188,0.010789,0.011706
deepseek_v2_lite,DeepSeek-V2-Lite,0,27,0.0,1.857474,1.880207,0.022732,0.011833,0.011743
deepseek_v2_lite,DeepSeek-V2-Lite,1,27,0.0385,1.5958,1.95292,0.35712,0.007801,0.010677
deepseek_v2_lite,DeepSeek-V2-Lite,2,27,0.0769,1.460005,1.751298,0.291293,0.00825,0.008348
deepseek_v2_lite,DeepSeek-V2-Lite,3,27,0.1154,1.804209,1.964173,0.159963,0.010096,0.008865
deepseek_v2_lite,DeepSeek-V2-Lite,4,27,0.1538,1.513614,1.579411,0.065797,0.008268,0.008992
deepseek_v2_lite,DeepSeek-V2-Lite,5,27,0.1923,1.645306,1.856969,0.211662,0.009563,0.008868
deepseek_v2_lite,DeepSeek-V2-Lite,6,27,0.2308,1.657182,1.646469,-0.010713,0.010073,0.007786
deepseek_v2_lite,DeepSeek-V2-Lite,7,27,0.2692,1.641334,1.501958,-0.139375,0.008966,0.007744
deepseek_v2_lite,DeepSeek-V2-Lite,8,27,0.3077,1.847815,1.842368,-0.005448,0.008859,0.008571
deepseek_v2_lite,DeepSeek-V2-Lite,9,27,0.3462,2.139996,2.121134,-0.018862,0.010069,0.009148
deepseek_v2_lite,DeepSeek-V2-Lite,10,27,0.3846,2.050979,2.07298,0.022001,0.011369,0.01122
deepseek_v2_lite,DeepSeek-V2-Lite,11,27,0.4231,1.913103,1.945817,0.032715,0.008786,0.008604
deepseek_v2_lite,DeepSeek-V2-Lite,12,27,0.4615,1.968976,2.065725,0.096749,0.013003,0.012621
deepseek_v2_lite,DeepSeek-V2-Lite,13,27,0.5,2.246754,2.320871,0.074116,0.013568,0.013293
deepseek_v2_lite,DeepSeek-V2-Lite,14,27,0.5385,1.833471,1.956389,0.122917,0.011078,0.010682
deepseek_v2_lite,DeepSeek-V2-Lite,15,27,0.5769,1.238766,1.448904,0.210137,0.009764,0.009208
deepseek_v2_lite,DeepSeek-V2-Lite,16,27,0.6154,1.693969,1.862235,0.168266,0.014077,0.012965
deepseek_v2_lite,DeepSeek-V2-Lite,17,27,0.6538,1.635924,1.761316,0.125392,0.010869,0.010199
deepseek_v2_lite,DeepSeek-V2-Lite,18,27,0.6923,1.625262,1.807882,0.182619,0.009676,0.007562
deepseek_v2_lite,DeepSeek-V2-Lite,19,27,0.7308,1.426292,1.562111,0.135819,0.013927,0.010165
deepseek_v2_lite,DeepSeek-V2-Lite,20,27,0.7692,1.107049,1.301272,0.194223,0.008783,0.005736
deepseek_v2_lite,DeepSeek-V2-Lite,21,27,0.8077,1.16662,1.339767,0.173146,0.01099,0.007499
deepseek_v2_lite,DeepSeek-V2-Lite,22,27,0.8462,1.47323,1.609336,0.136106,0.011069,0.007778
deepseek_v2_lite,DeepSeek-V2-Lite,23,27,0.8846,1.486588,1.537822,0.051234,0.010493,0.006867
deepseek_v2_lite,DeepSeek-V2-Lite,24,27,0.9231,1.701903,1.76717,0.065267,0.013009,0.009615
deepseek_v2_lite,DeepSeek-V2-Lite,25,27,0.9615,1.240324,1.128847,-0.111476,0.008817,0.007419
deepseek_v2_lite,DeepSeek-V2-Lite,26,27,1.0,1.072951,1.00353,-0.069421,0.006426,0.006537
olmo2_7b,OLMo 2 7B,0,32,0.0,2.684719,2.654162,-0.030557,0.016352,0.01642
olmo2_7b,OLMo 2 7B,1,32,0.0323,2.338378,2.301425,-0.036953,0.016038,0.01599
olmo2_7b,OLMo 2 7B,2,32,0.0645,2.2951,2.340325,0.045225,0.014061,0.014076
olmo2_7b,OLMo 2 7B,3,32,0.0968,2.199313,2.336571,0.137258,0.014384,0.015075
olmo2_7b,OLMo 2 7B,4,32,0.129,1.958292,2.072323,0.114031,0.013051,0.012978
olmo2_7b,OLMo 2 7B,5,32,0.1613,1.913047,2.091848,0.178801,0.012571,0.012441
olmo2_7b,OLMo 2 7B,6,32,0.1935,1.876529,1.971603,0.095075,0.011631,0.011323
olmo2_7b,OLMo 2 7B,7,32,0.2258,2.071433,2.141024,0.069592,0.010857,0.011593
olmo2_7b,OLMo 2 7B,8,32,0.2581,1.910404,2.039636,0.129232,0.011047,0.011606
olmo2_7b,OLMo 2 7B,9,32,0.2903,1.934783,1.958847,0.024064,0.011029,0.011369
olmo2_7b,OLMo 2 7B,10,32,0.3226,2.063422,2.121825,0.058403,0.010958,0.011638
olmo2_7b,OLMo 2 7B,11,32,0.3548,2.110962,2.09616,-0.014802,0.011334,0.010991
olmo2_7b,OLMo 2 7B,12,32,0.3871,2.069022,2.046959,-0.022063,0.012812,0.01152
olmo2_7b,OLMo 2 7B,13,32,0.4194,2.050492,2.059186,0.008695,0.011728,0.012348
olmo2_7b,OLMo 2 7B,14,32,0.4516,1.940554,1.892167,-0.048386,0.011239,0.012105
olmo2_7b,OLMo 2 7B,15,32,0.4839,1.892163,1.907965,0.015802,0.012489,0.011656
olmo2_7b,OLMo 2 7B,16,32,0.5161,2.003002,1.997987,-0.005014,0.013503,0.012991
olmo2_7b,OLMo 2 7B,17,32,0.5484,1.909019,1.913986,0.004967,0.014397,0.01244
olmo2_7b,OLMo 2 7B,18,32,0.5806,1.54399,1.609027,0.065037,0.012325,0.011983
olmo2_7b,OLMo 2 7B,19,32,0.6129,1.454584,1.432045,-0.02254,0.011756,0.01054
olmo2_7b,OLMo 2 7B,20,32,0.6452,1.274535,1.281436,0.006901,0.011027,0.010641
olmo2_7b,OLMo 2 7B,21,32,0.6774,1.294928,1.349691,0.054764,0.012644,0.012378
olmo2_7b,OLMo 2 7B,22,32,0.7097,1.275504,1.339641,0.064136,0.011883,0.011984
olmo2_7b,OLMo 2 7B,23,32,0.7419,1.189068,1.271401,0.082333,0.011814,0.011576
olmo2_7b,OLMo 2 7B,24,32,0.7742,1.13993,1.204298,0.064368,0.011616,0.011614
olmo2_7b,OLMo 2 7B,25,32,0.8065,1.112794,1.262538,0.149744,0.010875,0.01124
olmo2_7b,OLMo 2 7B,26,32,0.8387,1.268116,1.310741,0.042625,0.011958,0.011536
olmo2_7b,OLMo 2 7B,27,32,0.871,1.176406,1.259456,0.08305,0.011642,0.011844
olmo2_7b,OLMo 2 7B,28,32,0.9032,1.2215,1.278344,0.056845,0.011696,0.011414
olmo2_7b,OLMo 2 7B,29,32,0.9355,1.217355,1.333402,0.116047,0.01117,0.012048
olmo2_7b,OLMo 2 7B,30,32,0.9677,1.462765,1.53153,0.068765,0.013109,0.013237
olmo2_7b,OLMo 2 7B,31,32,1.0,1.353832,1.404864,0.051032,0.012209,0.011958
