model,model_label,variant,layer,n_layers,normalized_depth,intrinsic_dim,ci_low,ci_high
qwen3_4b,Qwen 3 4B,pt,10,36,0.2857,12.9554,nan,nan
qwen3_4b,Qwen 3 4B,pt,11,36,0.3143,12.9237,nan,nan
qwen3_4b,Qwen 3 4B,pt,12,36,0.3429,12.5083,nan,nan
qwen3_4b,Qwen 3 4B,pt,13,36,0.3714,12.4391,nan,nan
qwen3_4b,Qwen 3 4B,pt,14,36,0.4,12.4009,nan,nan
qwen3_4b,Qwen 3 4B,pt,15,36,0.4286,12.4659,nan,nan
qwen3_4b,Qwen 3 4B,pt,16,36,0.4571,12.6539,nan,nan
qwen3_4b,Qwen 3 4B,pt,17,36,0.4857,13.0785,nan,nan
qwen3_4b,Qwen 3 4B,pt,18,36,0.5143,13.2228,nan,nan
qwen3_4b,Qwen 3 4B,pt,19,36,0.5429,13.5562,nan,nan
qwen3_4b,Qwen 3 4B,pt,20,36,0.5714,13.8573,nan,nan
qwen3_4b,Qwen 3 4B,pt,21,36,0.6,14.0008,nan,nan
qwen3_4b,Qwen 3 4B,pt,22,36,0.6286,14.4619,nan,nan
qwen3_4b,Qwen 3 4B,pt,23,36,0.6571,14.4209,nan,nan
qwen3_4b,Qwen 3 4B,pt,24,36,0.6857,14.5191,nan,nan
qwen3_4b,Qwen 3 4B,pt,25,36,0.7143,14.0742,nan,nan
qwen3_4b,Qwen 3 4B,pt,26,36,0.7429,14.3738,nan,nan
qwen3_4b,Qwen 3 4B,pt,27,36,0.7714,14.1796,nan,nan
qwen3_4b,Qwen 3 4B,pt,28,36,0.8,13.9472,nan,nan
qwen3_4b,Qwen 3 4B,pt,29,36,0.8286,14.1156,nan,nan
qwen3_4b,Qwen 3 4B,pt,30,36,0.8571,13.837,nan,nan
qwen3_4b,Qwen 3 4B,pt,31,36,0.8857,14.5394,nan,nan
qwen3_4b,Qwen 3 4B,pt,32,36,0.9143,15.2044,nan,nan
qwen3_4b,Qwen 3 4B,pt,33,36,0.9429,16.4653,nan,nan
qwen3_4b,Qwen 3 4B,pt,34,36,0.9714,16.9016,nan,nan
qwen3_4b,Qwen 3 4B,pt,35,36,1.0,16.35,nan,nan
qwen3_4b,Qwen 3 4B,it,0,36,0.0,15.3771,nan,nan
qwen3_4b,Qwen 3 4B,it,1,36,0.0286,15.5477,nan,nan
