side,model,effect,kind,n_models,n_prompt_ids,mean,ci_low,ci_high
it,llama31_8b,E_late_it,signed_delta,1,600,-0.5802905628252164,-0.6043271683963884,-0.5573291820416975
it,mistral_7b,E_late_it,signed_delta,1,600,-0.6538788100009256,-0.665341955280517,-0.6418259340798365
it,olmo2_7b,E_late_it,signed_delta,1,600,-0.051642293906587255,-0.07299106158257813,-0.0345582506010733
it,dense5,E_midlate_it,signed_delta,5,3000,-0.9865076299132886,-1.0086458346813227,-0.9648484603415536
it,gemma3_4b,E_midlate_it,signed_delta,1,600,-1.7805643785598397,-1.8524993148911642,-1.7164069954300802
it,qwen3_4b,E_midlate_it,signed_delta,1,600,-1.7307532057848358,-1.8117458478827588,-1.655701188521031
it,llama31_8b,E_midlate_it,signed_delta,1,600,-0.5519289249644972,-0.5842919843426364,-0.5194350864508748
it,mistral_7b,E_midlate_it,signed_delta,1,600,-0.6590593241160403,-0.6762973011126258,-0.6416062518308165
it,olmo2_7b,E_midlate_it,signed_delta,1,600,-0.21023231614122917,-0.23523940699952955,-0.18704178295240628
it,dense5,I_it,signed_interaction,5,3000,0.3218412375505249,0.31265764596909473,0.3313577763124148
it,gemma3_4b,I_it,signed_interaction,1,600,0.9928635332261768,0.9586517084082956,1.0289058025647677
it,qwen3_4b,I_it,signed_interaction,1,600,0.17097420966461296,0.14524740285037735,0.19632871594306914
it,llama31_8b,I_it,signed_interaction,1,600,0.20850450200432524,0.1963398399947234,0.22078960719134294
it,mistral_7b,I_it,signed_interaction,1,600,0.18607116794913114,0.17887312515281217,0.1932140724577005
it,olmo2_7b,I_it,signed_interaction,1,600,0.0507927749083783,0.04105606219404044,0.06176334147681418
it,dense5,C_mid_it,collapse,5,3000,0.486283990318863,0.472858959326752,0.49936032790909674
it,gemma3_4b,C_mid_it,collapse,1,600,1.1376149951790735,1.0992972273483448,1.178576685047508
it,qwen3_4b,C_mid_it,collapse,1,600,0.7130276130643693,0.6733173675113631,0.753522966657648
it,llama31_8b,C_mid_it,collapse,1,600,0.18014286414360603,0.1556859469543158,0.2037604689527318
it,mistral_7b,C_mid_it,collapse,1,600,0.1912516820642458,0.17642199834607042,0.20573264108670902
it,olmo2_7b,C_mid_it,collapse,1,600,0.20938279714302022,0.19423397649182964,0.22515978191024913
it,dense5,C_late_it,collapse,5,3000,0.8220648771449504,0.8058189297980181,0.838998035322637
it,gemma3_4b,C_late_it,collapse,1,600,1.635812916606943,1.5734485002291962,1.6991579769463805
it,qwen3_4b,C_late_it,collapse,1,600,1.1886998023850794,1.144977235541559,1.2333916626309755
it,llama31_8b,C_late_it,collapse,1,600,0.5802905628252164,0.5564548557310522,0.6025204705595066
it,mistral_7b,C_late_it,collapse,1,600,0.6538788100009256,0.6426118861375766,0.6655880936545969
it,olmo2_7b,C_late_it,collapse,1,600,0.051642293906587255,0.033955540736867115,0.06989315619212377
it,dense5,C_midlate_it,collapse,5,3000,0.9865076299132886,0.9643659271186078,1.0083234248061574
it,gemma3_4b,C_midlate_it,collapse,1,600,1.7805643785598397,1.7169246134327993,1.846216003753636
it,qwen3_4b,C_midlate_it,collapse,1,600,1.7307532057848358,1.6528960912773982,1.8061154316444337
it,llama31_8b,C_midlate_it,collapse,1,600,0.5519289249644972,0.5178946118262358,0.584722601404014
it,mistral_7b,C_midlate_it,collapse,1,600,0.6590593241160403,0.6396440546243128,0.6777688520830929
it,olmo2_7b,C_midlate_it,collapse,1,600,0.21023231614122917,0.18762346906934452,0.23413011072022732
it,dense5,I_collapse_it,collapse_interaction,5,3000,-0.3218412375505248,-0.33185361534065777,-0.3118915907486919
it,gemma3_4b,I_collapse_it,collapse_interaction,1,600,-0.9928635332261768,-1.0303192191132344,-0.955916986612522
it,qwen3_4b,I_collapse_it,collapse_interaction,1,600,-0.17097420966461208,-0.19740706976584182,-0.14466017938297368
it,llama31_8b,I_collapse_it,collapse_interaction,1,600,-0.2085045020043248,-0.22075254350974788,-0.19636918599798292
it,mistral_7b,I_collapse_it,collapse_interaction,1,600,-0.1860711679491316,-0.1932713958298789,-0.17902679797172194
it,olmo2_7b,I_collapse_it,collapse_interaction,1,600,-0.050792774908378746,-0.0617054535001908,-0.04117909733039372
