mode,model,event_kind,effect,metric,n,mean,ci_low,ci_high
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:delta_cosine_mlp,delta_cosine_mlp,290,-0.026567799829282358,-0.027428747674353788,-0.025704102234680958
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:delta_cosine_mlp,delta_cosine_mlp,290,-0.05235910538479048,-0.0534093356967074,-0.051255273618932506
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:delta_cosine_mlp,delta_cosine_mlp,290,-0.01873682759555396,-0.019451144955418758,-0.01805818439466488
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:delta_cosine_mlp,delta_cosine_mlp,290,0.03271585099907762,0.03221611689541237,0.033222506595422086
native,gemma3_4b,first_nonformat_diff,late_weight_effect:negative_parallel_norm,negative_parallel_norm,290,0.9777430927471414,0.9544478482765213,1.001228947871137
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:negative_parallel_norm,negative_parallel_norm,290,1.1458293986349275,1.1179716833849844,1.1748018080342921
native,gemma3_4b,first_nonformat_diff,late_interaction:negative_parallel_norm,negative_parallel_norm,290,1.7251591655947527,1.6811235278628605,1.7678340800254668
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:negative_parallel_norm,negative_parallel_norm,290,2.123572491382069,2.074331350836553,2.176095360380789
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:negative_parallel_norm,negative_parallel_norm,290,0.11516350994976535,0.1083421306747014,0.121904399636391
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:negative_parallel_norm,negative_parallel_norm,290,1.8403226755445177,1.7980012483313015,1.8827552388590292
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:negative_parallel_norm,negative_parallel_norm,290,0.1498481281633888,0.14093018711004074,0.15891620372823043
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:negative_parallel_norm,negative_parallel_norm,290,-0.5635566332523299,-0.5746905002903815,-0.5529239223638133
native,gemma3_4b,first_nonformat_diff,late_weight_effect:support_it_token,support_it_token,290,-4.229879676561638e-05,-8.825612008993702e-05,-9.911853976071113e-07
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:support_it_token,support_it_token,290,0.00020329099552237928,0.0001479448766443016,0.0002584257777872051
native,gemma3_4b,first_nonformat_diff,late_interaction:support_it_token,support_it_token,290,-0.00029154940889093093,-0.000379640585582318,-0.00019847635831225097
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:support_it_token,support_it_token,290,0.0001609921987567629,7.469797002270892e-05,0.0002508478171738057
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:support_it_token,support_it_token,290,0.00010347590767984907,7.531098998495803e-05,0.00013074955696542866
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:support_it_token,support_it_token,290,-0.00018807350121108183,-0.0002694610443902133,-0.00010619037991086843
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:support_it_token,support_it_token,290,2.1058629299032264e-05,-6.043656174038435e-06,4.7755443257064e-05
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:support_it_token,support_it_token,290,-0.00010306541555620767,-0.00013599801239708962,-7.254246714079909e-05
native,gemma3_4b,first_nonformat_diff,late_weight_effect:support_pt_token,support_pt_token,290,-0.001323367462589823,-0.0014155531230524844,-0.0012342683002903251
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:support_pt_token,support_pt_token,290,-0.001705109450984471,-0.001796469878304401,-0.0016201900582522007
native,gemma3_4b,first_nonformat_diff,late_interaction:support_pt_token,support_pt_token,290,-0.0030114836990833282,-0.0031684169492551257,-0.002848357651382685
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:support_pt_token,support_pt_token,290,-0.0030284769135742943,-0.003200271910267511,-0.0028545899054246587
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:support_pt_token,support_pt_token,290,0.00018237438695184116,0.00014918425987506736,0.00021645196846553253
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:support_pt_token,support_pt_token,290,-0.002829109312131487,-0.002983200608711378,-0.002666447121888546
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:support_pt_token,support_pt_token,290,8.981838602150603e-05,5.679979700173063e-05,0.00012364838510898533
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:support_pt_token,support_pt_token,290,0.0005849474389564816,0.0005331958632163814,0.0006385388669415648
