mode,model,condition,pt_token_fraction,it_token_fraction,pt_winner_fraction,it_winner_fraction,mid_margin_delta,late_margin_delta
native,olmo2_7b,A_pt_raw,1.0,0.0,1.0,0.0,-0.9185989379882813,-9.733606033325195
native,olmo2_7b,B_early_raw,0.7433333333333333,0.0,0.7433333333333333,0.0,-0.48672701517740885,-9.500255368550619
native,olmo2_7b,B_mid_raw,0.66,0.0,0.66,0.0,-0.7999756240844726,-9.323810014724732
native,olmo2_7b,B_late_raw,0.8566666666666667,0.0,0.8566666666666667,0.0,-0.9185989379882813,-10.519364700317382
native,olmo2_7b,C_it_chat,0.0,1.0,0.0,1.0,2.458938102722168,10.123277219136556
native,olmo2_7b,D_early_ptswap,0.0,0.28,0.0,0.28,3.644862289428711,7.284340337117513
native,olmo2_7b,D_mid_ptswap,0.0,0.6666666666666666,0.0,0.6666666666666666,3.2999911244710285,8.110415776570639
native,olmo2_7b,D_late_ptswap,0.0,0.8216666666666667,0.0,0.8216666666666667,2.458938102722168,6.6759006118774415
native,qwen3_4b,A_pt_raw,1.0,0.0,1.0,0.0,1.7112583859761556,-10.035560506184895
native,qwen3_4b,B_early_raw,0.695,0.0,0.695,0.0,1.0940359942118327,-9.431627629597982
native,qwen3_4b,B_mid_raw,0.5583333333333333,0.0,0.5583333333333333,0.0,1.9153543122609455,-9.83808154741923
native,qwen3_4b,B_late_raw,0.485,0.0,0.485,0.0,1.7112583859761556,-12.091133422851563
native,qwen3_4b,C_it_chat,0.0,1.0,0.0,1.0,1.2033854420979817,35.11531762441
native,qwen3_4b,D_early_ptswap,0.0,0.575,0.0,0.575,2.2675960795084635,16.639380594889325
native,qwen3_4b,D_mid_ptswap,0.0,0.51,0.0,0.51,2.755786336263021,18.810105794270832
native,qwen3_4b,D_late_ptswap,0.0,0.625,0.0,0.625,1.2033854420979817,20.941904182434083
raw_shared,deepseek_v2_lite,A_pt_raw,1.0,0.0,0.9833333333333333,0.006666666666666667,-1.9906413777669272,1.910890401204427
raw_shared,deepseek_v2_lite,B_early_raw,0.47,0.25333333333333335,0.49,0.2833333333333333,-1.085338338216146,2.219438273111979
raw_shared,deepseek_v2_lite,B_mid_raw,0.5016666666666667,0.25166666666666665,0.55,0.25833333333333336,-1.532591349283854,2.0488960774739584
raw_shared,deepseek_v2_lite,B_late_raw,0.675,0.14,0.7333333333333333,0.14166666666666666,-1.9906413777669272,2.0882601928710938
raw_shared,deepseek_v2_lite,C_it_chat,0.0,1.0,0.021666666666666667,0.9666666666666667,-0.4002699152628581,3.7910918553670245
raw_shared,deepseek_v2_lite,D_early_ptswap,0.23833333333333334,0.43166666666666664,0.2916666666666667,0.505,-0.9382324282328288,2.652463919321696
raw_shared,deepseek_v2_lite,D_mid_ptswap,0.325,0.49666666666666665,0.3283333333333333,0.5366666666666666,-1.1884422810872395,2.876615295410156
raw_shared,deepseek_v2_lite,D_late_ptswap,0.23166666666666666,0.62,0.24666666666666667,0.645,-0.4002699152628581,2.5654668553670246
raw_shared,gemma3_4b,A_pt_raw,1.0,0.0,0.96,0.01,-0.6537074534098307,0.13611328125
raw_shared,gemma3_4b,B_early_raw,0.37833333333333335,0.37666666666666665,0.4216666666666667,0.3983333333333333,-0.16825724283854165,0.7032291666666667
raw_shared,gemma3_4b,B_mid_raw,0.21666666666666667,0.44666666666666666,0.27166666666666667,0.5,0.1612918217976888,1.1021630859375
raw_shared,gemma3_4b,B_late_raw,0.45166666666666666,0.215,0.5233333333333333,0.225,-0.6537074534098307,0.3058951822916667
raw_shared,gemma3_4b,C_it_chat,0.0,1.0,0.0016666666666666668,0.9933333333333333,0.35231295744578045,6.758818359375
raw_shared,gemma3_4b,D_early_ptswap,0.22,0.43166666666666664,0.27166666666666667,0.47333333333333333,0.07489415486653646,2.334169921875
raw_shared,gemma3_4b,D_mid_ptswap,0.37833333333333335,0.36666666666666664,0.3983333333333333,0.4033333333333333,-0.332779541015625,1.5250830078125
raw_shared,gemma3_4b,D_late_ptswap,0.15166666666666667,0.6516666666666666,0.165,0.675,0.35231295744578045,2.5258365885416665
raw_shared,llama31_8b,A_pt_raw,1.0,0.0,0.9966666666666667,0.0,-1.9818511708577473,-2.334581502278646
raw_shared,llama31_8b,B_early_raw,0.6066666666666667,0.16333333333333333,0.6233333333333333,0.175,-0.6840804862976074,-1.3645670700073242
raw_shared,llama31_8b,B_mid_raw,0.5266666666666666,0.245,0.575,0.24666666666666667,-1.916380958557129,-0.38623301188151044
raw_shared,llama31_8b,B_late_raw,0.6983333333333334,0.14333333333333334,0.705,0.14333333333333334,-1.9818511708577473,-1.9658201090494791
