mode,pool,condition,pt_token_fraction,it_token_fraction,other_token_fraction,missing_token_fraction,pt_winner_fraction,it_winner_fraction,other_winner_fraction,early_it_minus_pt_margin_delta,early_it_logit_delta,early_pt_logit_delta,mid_policy_it_minus_pt_margin_delta,mid_policy_it_logit_delta,mid_policy_pt_logit_delta,late_reconciliation_it_minus_pt_margin_delta,late_reconciliation_it_logit_delta,late_reconciliation_pt_logit_delta,exp11_early_it_minus_pt_margin_delta,exp11_early_it_logit_delta,exp11_early_pt_logit_delta,exp11_mid_it_minus_pt_margin_delta,exp11_mid_it_logit_delta,exp11_mid_pt_logit_delta,exp11_late_it_minus_pt_margin_delta,exp11_late_it_logit_delta,exp11_late_pt_logit_delta,y_it_first_top1_layer,y_it_first_top5_layer,y_it_first_top20_layer,y_pt_first_top1_layer,y_pt_first_top5_layer,y_pt_first_top20_layer
native,all6,C_it_chat,0.0,1.0,0.0,0.0,0.0022222222222222222,0.9966666666666667,0.0011111111111111111,2.749607315328386,1.523726631005605,-1.225880684322781,1.5335523504681057,3.568866431448195,2.035314080980089,19.72247667312622,25.910063847435847,6.187587174309624,2.2811983733707004,1.2559466836187574,-1.025251689751943,4.83653489391009,8.156720601850086,3.3201857079399955,19.72247667312622,25.910063847435847,6.187587174309624,24.78716310086135,21.75888888888889,19.9475,21.65126050420168,22.00342857142857,21.362021099389228
native,all6,D_early_ptswap,0.03611111111111111,0.48833333333333334,0.4747222222222222,0.0008333333333333334,0.05361111111111111,0.5177777777777778,0.4286111111111111,2.2154374192820656,0.5925018815199534,-1.6229355377621122,2.540773456096649,4.491608266565535,1.9508348104688857,10.123711792760425,16.642874416775175,6.519162624014749,2.60078409290976,1.148909385866589,-1.451874707043171,4.132091845273972,7.895878518422444,3.763786673148473,10.123711792760425,16.642874416775175,6.519162624014749,24.25041390728477,22.866903283052352,21.250490883590462,23.640198511166254,22.38095238095238,19.97843019772319
native,all6,D_mid_ptswap,0.0044444444444444444,0.5580555555555555,0.4375,0.0,0.03805555555555556,0.6183333333333333,0.3436111111111111,2.7229376543892756,1.5962034593688117,-1.1267341950204637,1.8378490238719516,4.002437294854058,2.1645882709821067,11.081980991363526,17.727106433444554,6.645125442081028,2.64168728907903,1.644374866220686,-0.9973124228583442,3.5837600391440922,7.573817526631885,3.990057487487793,11.081980991363526,17.727106433444554,6.645125442081028,24.159810702584636,22.654208273894437,20.42439431913116,21.063758389261746,20.252304147465438,19.878651685393258
native,all6,D_late_ptswap,0.014166666666666666,0.7194444444444444,0.26361111111111113,0.002777777777777778,0.020833333333333332,0.7430555555555556,0.2361111111111111,2.749607315328386,1.523726631005605,-1.225880684322781,1.5335523504681057,3.568866431448195,2.035314080980089,9.671842178768582,16.842914867401124,7.171072688632541,2.2811983733707004,1.2559466836187574,-1.025251689751943,4.3390690211455025,8.142806576755312,3.803737555609809,9.671842178768582,16.842914867401124,7.171072688632541,24.12910720212413,22.202031602708804,20.34066852367688,21.09691629955947,21.56307339449541,21.44427001569859
native,deepseek_only,A_pt_raw,1.0,0.0,0.0,0.0,0.99,0.005,0.005,0.24984721024831136,3.313189698855082,3.063342488606771,-3.302290547688802,3.643471171061198,6.94576171875,4.261041666666666,9.7662890625,5.505247395833333,-0.8977619409561157,3.367344870567322,4.265106811523437,-5.633447469075521,6.208939819335938,11.842387288411459,4.261041666666666,9.7662890625,5.505247395833333,19.34259259259259,18.91638795986622,18.76831683168317,17.707846410684475,13.561666666666667,10.79
native,deepseek_only,B_early_raw,0.6383333333333333,0.11166666666666666,0.25,0.0,0.6566666666666666,0.14,0.20333333333333334,-0.6161933390299479,2.796759236653646,3.412952575683594,-2.2064095052083332,4.538904622395833,6.745314127604167,4.441358032226563,9.939177042643228,5.497819010416666,-1.8758233642578126,2.7508617146809895,4.626685078938802,-3.8104959869384767,7.698519109090169,11.509015096028646,4.441358032226563,9.939177042643228,5.497819010416666,20.265060240963855,19.150568181818183,17.886939571150098,15.904471544715447,13.377295492487479,10.611666666666666
native,deepseek_only,B_mid_raw,0.6183333333333333,0.11833333333333333,0.2633333333333333,0.0,0.6433333333333333,0.12166666666666667,0.235,0.1967285172144572,3.2505918391545614,3.053863321940104,-2.6687470499674477,4.074213562011718,6.742960611979167,4.401424153645833,10.500826822916666,6.099402669270833,-1.0048313379287719,3.2966783666610717,4.301509704589844,-4.659364013671875,6.917652180989584,11.577016194661459,4.401424153645833,10.500826822916666,6.099402669270833,20.640883977900554,19.193181818181817,18.587332053742802,17.295258620689655,14.538590604026846,11.008333333333333
native,deepseek_only,B_late_raw,0.735,0.06666666666666667,0.19333333333333333,0.005,0.7666666666666667,0.06833333333333333,0.165,0.24984721024831136,3.313189698855082,3.063342488606771,-3.302290547688802,3.643471171061198,6.94576171875,4.7062369791666665,13.403359375,8.697122395833333,-0.8977619409561157,3.367344870567322,4.265106811523437,-5.534443359375,6.390880126953125,11.925323486328125,4.7062369791666665,13.403359375,8.697122395833333,20.925465838509318,20.020997375328083,18.51158301158301,16.862132352941178,13.579298831385643,10.781666666666666
native,deepseek_only,C_it_chat,0.0,1.0,0.0,0.0,0.011666666666666667,0.9833333333333333,0.005,0.6085364786783855,2.1012750244140626,1.492738545735677,2.735789693196615,7.513157145182292,4.777367451985677,8.711940002441406,25.55408203125,16.842142028808595,1.4060716756184897,3.7172857666015626,2.3112140909830727,4.925741425355276,12.70923833290736,7.783496907552084,8.711940002441406,25.55408203125,16.842142028808595,20.968280467445744,18.455,16.47,17.624,15.86411149825784,16.091463414634145
native,deepseek_only,D_early_ptswap,0.021666666666666667,0.42,0.5566666666666666,0.0016666666666666668,0.11666666666666667,0.5733333333333334,0.31,-1.029981632232666,1.835785223642985,2.865766855875651,3.590071700414022,7.043429040908814,3.4533573404947915,5.760061848958333,18.584347737630207,12.824285888671875,-0.03390226682027181,3.1307149155934653,3.164617182413737,4.233602066040039,12.099211196899414,7.865609130859375,5.760061848958333,18.584347737630207,12.824285888671875,21.847417840375588,19.67595818815331,17.27150084317032,17.664473684210527,15.046439628482972,13.554964539007091
